"","ModelNo","CI2.5","CI50","CI97.5","ESS","Mean","Rhat","SD","Variable","Submodel","Type","spatial"
"1","Model 1",0.2696,0.6277,0.9782,3000,0.6269,1.0024,0.1757,"Int","Occ","Fixed","Non-spatial"
"2","Model 1",0.8822,1.3764,1.9138,3000,1.3831,1.0006,0.2685,"Int","Det","Fixed","Non-spatial"
"3","Model 2",0.2832,0.6138,0.9527,3000,0.6149,1.0052,0.1735,"Int","Occ","Fixed","Non-spatial"
"4","Model 2",1.04,1.6054,2.2242,2842,1.6147,1.0039,0.3023,"Int","Det","Fixed","Non-spatial"
"5","Model 2",-0.8727,-0.3849,0.1218,2531,-0.3806,1.0026,0.2563,"Depth","Det","Fixed","Non-spatial"
"6","Model 3",0.3941,0.7822,1.2553,3000,0.7914,1.0053,0.2235,"Int","Occ","Fixed","Non-spatial"
"7","Model 3",-0.6346,0.907,2.3941,3000,0.8981,1.0065,0.796,"Int","Det","Fixed","Non-spatial"
"8","Model 3",-3.1001,-1.2459,1.2579,3000,-1.1501,1.0071,1.0951,"Year 2016","Det","Fixed","Non-spatial"
"9","Model 3",-1.0156,0.5088,2.086,3000,0.5186,1.0089,0.8132,"Year 2022","Det","Fixed","Non-spatial"
"10","Model 4",0.4127,0.7907,1.2234,3140,0.7982,1.0003,0.2074,"Int","Occ","Fixed","Non-spatial"
"11","Model 4",0.5576,1.044,1.5784,3000,1.0556,1.0013,0.2593,"Depth","Occ","Fixed","Non-spatial"
"12","Model 4",0.8473,1.3562,1.8982,3000,1.3633,1.0017,0.2684,"Int","Det","Fixed","Non-spatial"
"13","Model 5",-0.7035,0.0449,0.853,2904,0.0506,1.0076,0.3943,"Int","Occ","Fixed","Non-spatial"
"14","Model 5",-1.7375,-0.5507,0.4834,2442,-0.5683,1.0053,0.5731,"Year 2016","Occ","Fixed","Non-spatial"
"15","Model 5",0.141,1.0443,1.9229,3234,1.043,1.0077,0.4491,"Year 2022","Occ","Fixed","Non-spatial"
"16","Model 5",0.8533,1.3636,1.9158,2225,1.3753,1.0081,0.2701,"Int","Det","Fixed","Non-spatial"
"17","Model 6",-0.9259,-0.0128,0.8302,3000,-0.022,1.0009,0.4434,"Int","Occ","Fixed","Non-spatial"
"18","Model 6",0.5446,1.0057,1.5585,3000,1.0162,1.0001,0.2557,"Depth","Occ","Fixed","Non-spatial"
"19","Model 6",-1.4193,-0.1988,1.0585,2710,-0.1896,1.0008,0.6332,"Year 2016","Occ","Fixed","Non-spatial"
