"","Model","Appr","Sign."
"1","Non-spatial model 1","FT-1",0.993
"2","Non-spatial model 1","FT-2",0.534
"3","Non-spatial model 1","CS-1",0.951
"4","Non-spatial model 1","CS-2",0.5727
"5","Non-spatial model 2","FT-1",0.994
"6","Non-spatial model 2","FT-2",0.5687
"7","Non-spatial model 2","CS-1",0.9667
"8","Non-spatial model 2","CS-2",0.5683
"9","Non-spatial model 3","FT-1",0.923
"10","Non-spatial model 3","FT-2",0.3397
"11","Non-spatial model 3","CS-1",0.516
"12","Non-spatial model 3","CS-2",0.356
"13","Non-spatial model 4","FT-1",0.9903
"14","Non-spatial model 4","FT-2",0.5317
"15","Non-spatial model 4","CS-1",0.9547
"16","Non-spatial model 4","CS-2",0.514
"17","Non-spatial model 5","FT-1",0.9927
"18","Non-spatial model 5","FT-2",0.5487
"19","Non-spatial model 5","CS-1",0.953
"20","Non-spatial model 5","CS-2",0.5503
"21","Non-spatial model 6","FT-1",0.99
"22","Non-spatial model 6","FT-2",0.5503
"23","Non-spatial model 6","CS-1",0.9593
"24","Non-spatial model 6","CS-2",0.5493
"25","Non-spatial model 1","FT-1",0.993
"26","Non-spatial model 1","FT-2",0.534
"27","Non-spatial model 1","CS-1",0.951
"28","Non-spatial model 1","CS-2",0.5727
"29","Non-spatial model 2","FT-1",0.994
"30","Non-spatial model 2","FT-2",0.5687
"31","Non-spatial model 2","CS-1",0.9667
"32","Non-spatial model 2","CS-2",0.5683
"33","Non-spatial model 3","FT-1",0.923
"34","Non-spatial model 3","FT-2",0.3397
"35","Non-spatial model 3","CS-1",0.516
"36","Non-spatial model 3","CS-2",0.356
"37","Non-spatial model 4","FT-1",0.9903
"38","Non-spatial model 4","FT-2",0.5317
"39","Non-spatial model 4","CS-1",0.9547
"40","Non-spatial model 4","CS-2",0.514
"41","Non-spatial model 5","FT-1",0.9927
"42","Non-spatial model 5","FT-2",0.5487
"43","Non-spatial model 5","CS-1",0.953
"44","Non-spatial model 5","CS-2",0.5503
"45","Non-spatial model 6","FT-1",0.99
"46","Non-spatial model 6","FT-2",0.5503
"47","Non-spatial model 6","CS-1",0.9593
"48","Non-spatial model 6","CS-2",0.5493
"49","Spatial model 1","FT-1",0.995
"50","Spatial model 1","FT-2",0.5683
"51","Spatial model 1","CS-1",0.956
"52","Spatial model 1","CS-2",0.5607
"53","Spatial model 2","FT-1",0.9937
"54","Spatial model 2","FT-2",0.5243
"55","Spatial model 2","CS-1",0.955
"56","Spatial model 2","CS-2",0.5503
"57","Spatial model 3","FT-1",0.9923
"58","Spatial model 3","FT-2",0.5467
"59","Spatial model 3","CS-1",0.9507
"60","Spatial model 3","CS-2",0.561
"61","Spatial model 4","FT-1",0.994
"62","Spatial model 4","FT-2",0.5577
"63","Spatial model 4","CS-1",0.958
"64","Spatial model 4","CS-2",0.582
"65","Spatial model 1","FT-1",0.995
"66","Spatial model 1","FT-2",0.5683
"67","Spatial model 1","CS-1",0.956
"68","Spatial model 1","CS-2",0.5607
"69","Spatial model 2","FT-1",0.9937
"70","Spatial model 2","FT-2",0.5243
"71","Spatial model 2","CS-1",0.955
"72","Spatial model 2","CS-2",0.5503
"73","Spatial model 3","FT-1",0.9923
"74","Spatial model 3","FT-2",0.5467
"75","Spatial model 3","CS-1",0.9507
"76","Spatial model 3","CS-2",0.561
"77","Spatial model 4","FT-1",0.994
"78","Spatial model 4","FT-2",0.5577
"79","Spatial model 4","CS-1",0.958
"80","Spatial model 4","CS-2",0.582
"81","Spatial model 1","FT-1",0.995
"82","Spatial model 1","FT-2",0.5683
"83","Spatial model 1","CS-1",0.956
"84","Spatial model 1","CS-2",0.5607
"85","Spatial model 2","FT-1",0.9937
"86","Spatial model 2","FT-2",0.5243
"87","Spatial model 2","CS-1",0.955
"88","Spatial model 2","CS-2",0.5503
"89","Spatial model 3","FT-1",0.9923
"90","Spatial model 3","FT-2",0.5467
"91","Spatial model 3","CS-1",0.9507
"92","Spatial model 3","CS-2",0.561
"93","Spatial model 4","FT-1",0.994
"94","Spatial model 4","FT-2",0.5577
"95","Spatial model 4","CS-1",0.958
"96","Spatial model 4","CS-2",0.582
