"","Model","Appr","Sign."
"1","Model 1","FT-1",0.9893
"2","Model 1","FT-2",0.538
"3","Model 1","CS-1",0.976
"4","Model 1","CS-2",0.5303
"5","Model 2","FT-1",0.9377
"6","Model 2","FT-2",0.5763
"7","Model 2","CS-1",0.3603
"8","Model 2","CS-2",0.574
"9","Model 3","FT-1",0.7183
"10","Model 3","FT-2",0.4367
"11","Model 3","CS-1",0.2157
"12","Model 3","CS-2",0.4523
"13","Model 4","FT-1",0.9877
"14","Model 4","FT-2",0.5557
"15","Model 4","CS-1",0.9673
"16","Model 4","CS-2",0.5417
"17","Model 5","FT-1",0.6517
"18","Model 5","FT-2",0.377
"19","Model 5","CS-1",0.118
"20","Model 5","CS-2",0.398
"21","Model 6","FT-1",0.8817
"22","Model 6","FT-2",0.5693
"23","Model 6","CS-1",0.682
"24","Model 6","CS-2",0.544
"25","Model 7","FT-1",0.5387
"26","Model 7","FT-2",0.2897
"27","Model 7","CS-1",0.1477
"28","Model 7","CS-2",0.3047
"29","Spatial model 1","FT-1",0.7087
"30","Spatial model 1","FT-2",0.4543
"31","Spatial model 1","CS-1",0.2207
"32","Spatial model 1","CS-2",0.4457
"33","Spatial model 2","FT-1",0.6547
"34","Spatial model 2","FT-2",0.3837
"35","Spatial model 2","CS-1",0.118
"36","Spatial model 2","CS-2",0.384
"37","Spatial model 3","FT-1",0.8923
"38","Spatial model 3","FT-2",0.5707
"39","Spatial model 3","CS-1",0.6943
"40","Spatial model 3","CS-2",0.5713
"41","Spatial model 4","FT-1",0.6023
"42","Spatial model 4","FT-2",0.3473
"43","Spatial model 4","CS-1",0.2297
"44","Spatial model 4","CS-2",0.3443
