"","WAIC","pD","elpd","deviance","model"
"2",434.137615825114,19.201718654336,-197.867089258221,484.268428119075,"Spatial model 2"
"4",434.424284962904,20.667067638017,-196.545074843435,481.61069226816,"Spatial model 4"
"3",435.041526513974,25.0626113475766,-192.45815190941,488.199466226987,"Spatial model 3"
"7",435.926704971966,5.07305193865825,-212.890300547325,488.812609537909,"Model 7"
"5",436.23458978126,4.11751417158481,-213.999780719045,488.510167010429,"Model 5"
"1",436.576898812724,20.1950929813874,-198.093356424975,483.716969293395,"Spatial model 1"
"6",437.61871453527,4.10636866878196,-214.702988598853,493.168573816187,"Model 6"
"31",438.633930814147,3.30327771913615,-216.013687687937,489.187755947889,"Model 3"
"21",446.727574130356,4.89649446345504,-218.467292601723,504.267413085643,"Model 2"
"11",457.710602304508,2.01679278175456,-226.838508370499,524.519869627342,"Model 1"
"41",458.870912039983,3.19458959561553,-226.240866424376,533.779818571659,"Model 4"
