"","Rhat","Model"
"1",1.002393498339,"Model 1"
"2",1.00515032487801,"Model 2"
"3",1.00527007754209,"Model 3"
"4",1.00031135688165,"Model 4"
"5",1.00131396695553,"Model 4"
"6",1.00763713926896,"Model 5"
"7",1.00527711850908,"Model 5"
"8",1.00767903864222,"Model 5"
"9",1.00091649425579,"Model 6"
"10",1.00008541925069,"Model 6"
"11",1.00076302670181,"Model 6"
"12",1.00346687895584,"Model 6"
"13",1.00163907177491,"Spatial 1"
"14",1.00850888133706,"Spatial 2"
"15",1.03404716858045,"Spatial 2"
"16",1.00134280017431,"Spatial 3"
"17",1.00199797574992,"Spatial 3"
"18",1.00569134642443,"Spatial 3"
"19",1.00002674103092,"Spatial 4"
"20",1.00615730400211,"Spatial 4"
"21",1.00282275826693,"Spatial 4"
"22",1.00083318971734,"Spatial 4"
